,光缆外径,加强件涂覆后外径,缆芯外径,钢铝带搭边宽度,加强件外径,套管壁厚2,套管壁厚3,套管壁厚1,套管外径6,套管外径2
缆芯外径,0.3957770071415025,0.7374031425374457,0.4563269581566706,0.32611106679929036,0.2678100662348529,0.30369099575899566,0.2976749907730497,0.28839725937857597,0.2710743914250276,0.2714272102016177
护套外径,0.7628166109400036,0.6646965733588504,0.7439993290010782,0.64230511770509,0.4235826433575042,0.48494062575687685,0.4733348295147013,0.45535490329593875,0.4373513052726576,0.43643394381574463
挤出内模,0.5186913270685172,0.7576994651798612,0.5103038568034705,0.44031370896605904,0.3330973199908738,0.3140127870425591,0.309385185595796,0.3004170826067458,0.288691710256678,0.2884982601499984
挤出外模,0.695365576604602,0.7455551167768169,0.7506369298027014,0.6438841765741105,0.3527690164308034,0.41412285283092004,0.399482833993101,0.37558969879742665,0.3414683626402159,0.3406223493800473
螺杆速度,0.13077428632836022,0.06863818759273721,0.09763812240360346,0.09855428476956066,0.056206671601061985,0.14837639091131588,0.139157674539116,0.13574365416678055,0.12260344203176474,0.12261763026324662
螺杆电流,0.03937504508388542,-0.015998975975144488,-0.02036765885430771,0.08028086664332595,0.010470161974443434,-0.04037549104581853,-0.051559659851207196,-0.04421958361460564,-0.03861578101819912,-0.03982540098862622
生产速度,-0.4770994596105809,-0.06750332007003602,-0.5348329633792422,-0.5302018122910876,-0.5323371657511736,-0.31793514438480797,-0.28150406208465084,-0.3102931411070129,-0.3851075302982169,-0.38505140580662983
实际生产速度,-0.47770915322198215,-0.06217644136305477,-0.5296979092122873,-0.5275529914538127,-0.5285958639443165,-0.3183933298055457,-0.28078751724591433,-0.310199164019668,-0.38443198645592047,-0.38441849909356235
