检查项目,训练样本数,测试样本数,MAE,RMSE,R2,Precision,Recall,F1
缆芯外径,4427,1107,0.11662778886029376,0.39938733374720903,0.9762253613517109,0.999009900990099,0.9273897058823529,0.9618684461391802
加强件涂覆后外径,672,169,0.12595797999370323,0.3862417872693326,0.9677763097660094,0.9532710280373832,0.723404255319149,0.8225806451612904
钢铝带搭边宽度,4172,1044,0.1330245647050167,0.336814890312302,0.9251710299695679,0.9903121636167922,0.9406952965235174,0.9648662821185108
光缆外径,4875,1219,0.18565619539355208,0.8434093848968839,0.9153148491660031,0.9600778967867576,0.9054178145087236,0.9319470699432892
加强件外径,4944,1237,0.033508504499215774,0.15877453449027557,0.9039004395751061,0.9972997299729973,0.922564529558701,0.9584775086505191
